ID Producto;Fecha venta;Unidades;Valor unitario;Valor total;Canal de venta;Vendedor ID
103957;14/10/2022;1;15000;15000;Empresarial;139305
103957;3/10/2021;2;15000;30000;Empresarial;475267
103957;5/10/2023;3;15000;45000;Tienda física;165265
103957;25/10/2024;2;15000;30000;Empresarial;475267
103957;29/06/2023;2;15000;30000;Empresarial;209814
103957;16/02/2021;3;15000;45000;Rappi;209814
103957;25/08/2021;2;15000;30000;Empresarial;139305
103957;12/04/2021;1;15000;15000;Empresarial;475267
103957;3/08/2024;2;15000;30000;Tienda física;475267
103957;11/01/2022;10;15000;150000;Empresarial;209814
103957;27/07/2021;2;15000;30000;Rappi;165265
103957;6/08/2023;3;15000;45000;Rappi;475267
103957;17/12/2024;3;15000;45000;Tienda física;209814
103957;6/12/2022;1;15000;15000;Empresarial;209814
103957;7/12/2022;3;15000;45000;Rappi;475267
103957;18/07/2021;2;15000;30000;Tienda física;165265
103957;22/05/2022;2;15000;30000;Empresarial;475267
103957;13/02/2021;2;15000;30000;Rappi;139305
103957;5/03/2021;2;15000;30000;Tienda física;209814
103957;15/04/2021;1;15000;15000;Empresarial;139305
103957;6/02/2023;2;15000;30000;Empresarial;475267
103957;5/09/2022;2;15000;30000;Rappi;209814
103957;2/07/2022;2;15000;30000;Tienda física;139305
103957;15/04/2022;2;15000;30000;Rappi;139305
103957;28/03/2023;2;15000;30000;Empresarial;209814
103957;24/09/2023;2;15000;30000;Tienda física;475267
103957;7/08/2023;2;15000;30000;Empresarial;475267
103957;4/03/2024;3;15000;45000;Empresarial;139305
103957;3/10/2024;1;15000;15000;Empresarial;165265
103957;28/08/2021;1;15000;15000;Empresarial;165265
103957;18/03/2024;3;15000;45000;Rappi;139305
103957;30/10/2023;2;15000;30000;Rappi;209814
103957;4/02/2024;1;15000;15000;Rappi;139305
103957;5/04/2022;3;15000;45000;Empresarial;139305
103957;13/02/2023;1;15000;15000;Empresarial;139305
103957;25/01/2023;10;15000;150000;Tienda física;139305
103957;3/08/2021;1;15000;15000;Empresarial;209814
103957;4/11/2021;2;15000;30000;Tienda física;139305
103957;26/12/2024;2;15000;30000;Rappi;209814
103957;26/06/2022;2;15000;30000;Empresarial;475267
103957;19/06/2021;1;15000;15000;Empresarial;165265
103957;6/01/2021;7;15000;105000;Rappi;209814
103957;8/12/2024;2;15000;30000;Empresarial;139305
103957;23/07/2023;1;15000;15000;Rappi;139305
103957;15/03/2023;3;15000;45000;Empresarial;209814
103957;20/09/2023;1;15000;15000;Rappi;209814
103957;19/12/2024;2;15000;30000;Empresarial;165265
103957;12/05/2023;1;15000;15000;Tienda física;209814
103957;19/09/2021;2;15000;30000;Tienda física;139305
103957;1/12/2024;1;15000;15000;Tienda física;475267
103957;19/01/2021;8;15000;120000;Empresarial;165265
103957;24/03/2021;1;15000;15000;Tienda física;209814
103957;11/12/2024;1;15000;15000;Empresarial;165265
103957;20/06/2023;3;15000;45000;Rappi;209814
103957;21/02/2022;3;15000;45000;Empresarial;139305
103957;20/08/2022;1;15000;15000;Tienda física;165265
103957;23/11/2022;2;15000;30000;Rappi;209814
103957;10/05/2023;3;15000;45000;Tienda física;139305
103957;15/05/2023;3;15000;45000;Rappi;165265
103957;31/05/2021;2;15000;30000;Tienda física;209814
103957;25/01/2022;10;15000;150000;Rappi;165265
103957;21/05/2022;3;15000;45000;Tienda física;209814
103957;14/03/2023;2;15000;30000;Empresarial;209814
103957;1/03/2022;1;15000;15000;Tienda física;475267
103957;8/04/2023;2;15000;30000;Rappi;165265
103957;10/07/2021;3;15000;45000;Empresarial;139305
103957;22/12/2022;2;15000;30000;Tienda física;165265
103957;3/03/2024;2;15000;30000;Empresarial;209814
103957;13/03/2022;3;15000;45000;Rappi;209814
103957;1/09/2023;2;15000;30000;Tienda física;209814
103957;4/11/2022;3;15000;45000;Rappi;139305
103957;8/11/2021;2;15000;30000;Tienda física;475267
103957;19/07/2024;2;15000;30000;Tienda física;139305
103957;22/08/2023;3;15000;45000;Empresarial;139305
103957;30/01/2021;8;15000;120000;Empresarial;165265
103957;12/05/2021;1;15000;15000;Tienda física;139305
103957;23/03/2021;2;15000;30000;Rappi;165265
103957;5/08/2024;3;15000;45000;Tienda física;209814
103957;25/01/2023;8;15000;120000;Rappi;475267
103957;15/11/2023;1;15000;15000;Empresarial;475267
103957;24/03/2021;2;15000;30000;Empresarial;475267
103957;5/07/2021;1;15000;15000;Tienda física;139305
103957;27/03/2024;3;15000;45000;Empresarial;475267
103957;23/09/2024;1;15000;15000;Rappi;165265
103957;31/01/2023;8;15000;120000;Tienda física;475267
103957;8/06/2024;3;15000;45000;Tienda física;139305
103957;11/02/2024;3;15000;45000;Rappi;209814
103957;7/05/2024;3;15000;45000;Tienda física;165265
103957;26/07/2022;1;15000;15000;Tienda física;139305
103957;21/04/2021;1;15000;15000;Empresarial;475267
103957;10/07/2023;3;15000;45000;Tienda física;139305
103957;16/09/2023;1;15000;15000;Tienda física;165265
103957;29/07/2022;3;15000;45000;Empresarial;209814
103957;7/07/2024;1;15000;15000;Tienda física;165265
103957;14/11/2024;3;15000;45000;Empresarial;475267
103957;4/02/2023;2;15000;30000;Empresarial;165265
103957;26/10/2022;2;15000;30000;Empresarial;475267
103957;11/11/2023;1;15000;15000;Tienda física;139305
103957;7/08/2023;2;15000;30000;Rappi;165265
103957;30/01/2024;8;15000;120000;Empresarial;475267
103957;26/10/2022;1;15000;15000;Rappi;139305
103957;26/09/2022;1;15000;15000;Tienda física;165265
103957;16/01/2023;9;15000;135000;Tienda física;475267
103957;30/08/2023;3;15000;45000;Empresarial;475267
103957;30/03/2023;1;15000;15000;Rappi;139305
103957;1/07/2021;2;15000;30000;Rappi;165265
103957;20/05/2022;3;15000;45000;Rappi;209814
103957;3/07/2023;3;15000;45000;Tienda física;165265
103957;3/08/2024;3;15000;45000;Empresarial;475267
103957;1/12/2023;3;15000;45000;Rappi;165265
103957;29/10/2022;3;15000;45000;Rappi;475267
103957;11/01/2021;10;15000;150000;Empresarial;165265
103957;13/03/2024;2;15000;30000;Rappi;139305
103957;5/06/2021;1;15000;15000;Empresarial;475267
103957;23/10/2022;3;15000;45000;Rappi;475267
103957;24/03/2024;1;15000;15000;Rappi;165265
103957;23/01/2022;7;15000;105000;Tienda física;209814
103957;29/09/2021;1;15000;15000;Tienda física;475267
103957;28/08/2022;2;15000;30000;Empresarial;209814
103957;16/09/2022;2;15000;30000;Rappi;475267
103957;24/07/2021;1;15000;15000;Tienda física;165265
103957;14/09/2022;2;15000;30000;Empresarial;475267
103957;24/06/2021;3;15000;45000;Rappi;165265
103957;26/12/2024;3;15000;45000;Tienda física;139305
103957;22/03/2021;1;15000;15000;Empresarial;475267
103957;18/11/2021;3;15000;45000;Empresarial;165265
103957;20/02/2023;1;15000;15000;Tienda física;209814
103957;29/05/2022;3;15000;45000;Tienda física;209814
103957;30/07/2021;3;15000;45000;Rappi;475267
